"system","T(K)","gamainf","ref"
?n-butane/n-decylcyclohexane,311.8,0.984,"10.1006/jcht.1997.0284"
?n-pentane/n-decylcyclohexane,311.8,0.988,"10.1006/jcht.1997.0284"
?n-hexane/n-decylcyclohexane,311.8,0.994,"10.1006/jcht.1997.0284"
?n-pentane/n-tetradecylcyclohexane,323.6,0.870,"10.1006/jcht.1997.0284"
?n-hexane/n-tetradecylcyclohexane,323.6,0.901,"10.1006/jcht.1997.0284"
?n-heptane/n-tetradecylcyclohexane,323.6,0.913,"10.1006/jcht.1997.0284"
?n-octane/n-tetradecylcyclohexane,323.6,0.928,"10.1006/jcht.1997.0284"
?propane/n-octadecylcyclohexane,323.6,0.813,"10.1006/jcht.1997.0284"
?n-butane/n-octadecylcyclohexane,323.6,0.801,"10.1006/jcht.1997.0284"
?n-pentane/n-octadecylcyclohexane,323.6,0.800,"10.1006/jcht.1997.0284"
?n-hexane/n-octadecylcyclohexane,323.6,0.829,"10.1006/jcht.1997.0284"
